CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
457	576	7	0.813	-212.085
805	1089	7	0.7513	-14.004
286	701	7	0.8321	52.029
6	872	7	0.9233	-2.015
130	1089	7	0.7975	-45.045
350	457	7	0.7374	-0.987
286	809	7	0.7596	82.005
366	740	7	0.8503	-31.041
285	811	7	0.8802	0.001
148	1161	7	0.7283	-181.082
286	1109	7	0.8006	82.005
1114	1161	7	0.9763	-102.031
350	701	7	0.9468	-0.001
125	1163	7	0.9448	0.000
457	1109	7	0.7071	30.962
91	196	7	0.8876	15.996
148	208	7	0.7121	-94.041
350	809	7	0.7017	29.975
248	447	7	0.8079	28.979
701	1109	7	0.7036	29.976
246	1078	7	0.8052	-15.995
657	1125	7	0.8321	-78.045
125	805	7	0.696	-77.047
657	1114	7	0.8721	-63.056
457	811	7	0.7062	0.988
350	1109	7	0.6834	29.975
997	1089	7	0.7838	-14.004
285	350	7	0.9468	0.001
304	447	7	0.756	28.979
285	723	7	0.6797	129.044
286	576	7	0.9516	-161.042
1041	1089	7	0.7838	-14.004
91	449	7	0.9684	0.000
82	142	7	0.6958	-23.015
208	1161	7	0.967	-87.042
10	473	7	0.8358	-17.027
805	1041	7	0.9619	0.000
576	809	7	0.7061	243.047
1042	1168	7	0.6793	-26.029
151	1161	7	0.8281	-165.087
130	1041	7	0.8591	-31.040
142	493	7	0.9281	-0.000
701	811	7	0.8802	0.002
346	453	8	0.9042	-0.002
164	453	8	0.8947	0.001
164	563	8	0.9325	-0.001
164	346	8	0.9325	0.003
346	563	8	1.0	-0.004
163	563	8	1.0	-0.001
164	950	8	0.7109	43.991
453	950	8	0.68	43.991
346	950	8	0.7073	43.988
163	346	8	1.0	0.003
163	164	8	0.9325	-0.001
163	950	8	0.7073	43.991
563	950	8	0.7073	43.992
453	563	8	0.9042	-0.001
163	453	8	0.9042	0.000
467	513	9	0.7401	-0.501
467	504	9	0.6828	273.651
504	512	9	0.671	-167.574
467	512	9	0.6991	106.076
790	1088	10	0.745	-300.118
817	903	10	1.0	0.000
1094	1149	10	0.9405	-283.090
207	731	10	0.972	0.000
527	1084	10	0.9554	15.978
608	879	10	0.7945	79.965
508	1120	10	0.904	15.996
484	903	10	0.8881	40.003
505	831	10	0.9329	-40.005
527	731	10	0.8884	-31.963
507	831	10	0.9177	-15.995
708	1003	10	0.9277	0.001
507	854	10	0.942	-0.000
762	1084	10	0.9648	15.977
974	1037	10	0.8152	-0.002
484	854	10	0.914	15.992
762	1120	10	0.8915	-276.032
484	507	10	0.8949	15.993
879	1037	10	0.7314	-15.995
484	508	10	0.9592	-0.003
854	855	10	0.9065	-15.994
926	1037	10	0.7951	-40.006
527	874	10	0.9664	45.988
708	926	10	0.8626	0.000
731	874	10	0.8793	77.951
113	495	10	0.9219	0.001
207	874	10	0.8904	77.951
